	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	2459970.083164169	0.41382031172973166	1.0826813419386245	3811468.4023459475	0.6411716358672325	3314830.449153806	0.5576263626895862
1	2005	CHIRPS	2	329821.7741936527	0.05548317450938767	1.0826813419386245	79431.17372554837	0.013362045862722504	285014.97452402045	0.047945699182432085
2	2005	CHIRPS	3	162921.70712159475	0.02740696404806605	1.0826813419386245	0.0	0.0	12250.642936357239	0.0020608237935528847
0	2010	CHIRPS	1	3058986.845685035	0.5145879206914121	1.520042078297121	3917904.4746590103	0.6590764912658096	4107362.886440922	0.6909475044785253
1	2010	CHIRPS	2	509639.93019651796	0.08573248765390257	1.520042078297121	127381.78881229498	0.02142837911556703	52020.68740525283	0.00875100767516123
2	2010	CHIRPS	3	184033.82643685944	0.030958480327109787	1.520042078297121	3007.81605007812	0.00050597988324639	0.0	0.0
0	2016	CHIRPS	1	1425246.1338203372	0.23975730575978962	1.1457499618130225	2966146.4632261116	0.49897015514491333	836934.0356688786	0.140790453472602
1	2016	CHIRPS	2	422493.21735670767	0.07107252080292155	1.1457499618130225	609867.0008039223	0.1025928543251772	0.0	0.0
2	2016	CHIRPS	3	400511.30675061943	0.06737468676758811	1.1457499618130225	64468.123856379076	0.010844936405308852	0.0	0.0
0	2005	CRU NCEP	1	2329713.839151845	0.39190838691778807	1.6482361724762398	2708884.0920978757	0.4556930456608497	2472659.679623711	0.4159549770244648
1	2005	CRU NCEP	2	414468.1474388709	0.06972253002141557	1.6482361724762398	51639.620376199084	0.008686903937545808	214728.0174731221	0.0361219088540861
2	2005	CRU NCEP	3	300444.0550021712	0.050541205094015704	1.6482361724762398	0.0	0.0	24594.83648369068	0.004137384828489978
0	2010	CRU NCEP	1	3167477.2250169422	0.5328383550776137	1.32070412836553	3165310.534426043	0.532473870736164	3758821.0930400854	0.6323152168002737
1	2010	CRU NCEP	2	278708.89027051965	0.04688487906537561	1.32070412836553	48291.56946665513	0.008123689173042497	200342.17966007622	0.03370189898118929
2	2010	CRU NCEP	3	104294.16837550813	0.017544540709711398	1.32070412836553	5992.74034748724	0.001008108877292802	0.0	0.0
0	2016	CRU NCEP	1	1636958.292851605	0.27537188182593564	1.0997696782665123	3443386.822907321	0.579252332462802	794230.768065664	0.13360683785370375
1	2016	CRU NCEP	2	373306.2336096884	0.06279820353112144	1.0997696782665123	722330.8109380418	0.12151170593501152	0.0	0.0
2	2016	CRU NCEP	3	250037.10366964227	0.04206166281968777	1.0997696782665123	116921.46757533296	0.019668726254461925	0.0	0.0
0	2005	ERA 5	1	1891176.127768237	0.31813683429931794	0.7036871323513357	4169792.8181164423	0.7014495727614043	3133263.548847694	0.5270828728322495
1	2005	ERA 5	2	147292.2561346116	0.024777751471920136	0.7036871323513357	36908.13236028751	0.006208748205202092	187126.10204578086	0.03147866813963477
2	2005	ERA 5	3	61460.86869665469	0.010339050875982714	0.7036871323513357	6175.39166141432	0.001038834789036382	15330.974279087472	0.0025790023214965602
0	2010	ERA 5	1	2898205.532599132	0.4875410173339766	1.8186969614006254	4229579.64605825	0.7115070136813308	4138522.656388183	0.6961892534742757
1	2010	ERA 5	2	834032.9508792217	0.140302428101795	1.8186969614006254	69581.97609309961	0.011705197243935591	370792.6422687439	0.062375362961071594
2	2010	ERA 5	3	245320.46401782808	0.04126822175128262	1.8186969614006254	0.0	0.0	52405.00806575746	0.00881565874414075
0	2016	ERA 5	1	1481310.4688800797	0.24918854265576876	1.1381165273676042	2128503.2552903774	0.35806040351883023	748352.2352941404	0.12588907377878694
1	2016	ERA 5	2	481523.1267946989	0.08100263161694689	1.1381165273676042	600440.2071276153	0.10100706321152127	0.0	0.0
2	2016	ERA 5	3	574452.8471845349	0.09663542574069243	1.1381165273676042	67888.98823698565	0.011420399974584007	0.0	0.0
0	2005	GLDAS	1	2361346.5416446463	0.3972296934231043	1.1948722705883204	4055787.580862727	0.6822714196846515	3218201.523030414	0.5413712819452474
1	2005	GLDAS	2	431042.70836845104	0.07251073058434271	1.1948722705883204	43187.30747227362	0.007265041621138829	306441.16073102306	0.05155004832311607
2	2005	GLDAS	3	110488.52142207854	0.018586565214903202	1.1948722705883204	0.0	0.0	0.0	0.0
0	2010	GLDAS	1	2847920.800431486	0.47908203497346935	1.595025493518375	3971653.8248144425	0.668118297501104	3596852.10663623	0.6050685210364053
1	2010	GLDAS	2	571244.3208897836	0.09609568204194831	1.595025493518375	93743.47607343725	0.01576968547578452	246634.10500524336	0.041489204651291654
2	2010	GLDAS	3	92349.2264234512	0.015535142450755468	1.595025493518375	0.0	0.0	18529.23388862584	0.0031170189411578054
0	2016	GLDAS	1	2466859.454584637	0.41497925339668607	1.8552635922623328	1974421.6602533902	0.33214053801867516	2818090.858236678	0.4740639918426124
1	2016	GLDAS	2	516343.7146556842	0.08686020956956618	1.8552635922623328	1529234.9139984837	0.2572504735524499	547256.4462268464	0.09206040135350106
2	2016	GLDAS	3	752471.0299181426	0.12658194434941722	1.8552635922623328	818379.563453618	0.13766918889761834	251571.40825895604	0.042319766122562726
0	2005	TRMM 7	1	2193161.7085135705	0.36893735745087447	1.2125244695779083	3383344.2335679634	0.5691518669296953	3113941.798556449	0.5238325354466816
1	2005	TRMM 7	2	308707.0101265019	0.05193121332572603	1.2125244695779083	156966.8889034146	0.026405234495253126	300342.9023408053	0.05052418902290767
2	2005	TRMM 7	3	220833.36758196063	0.037148961135148366	1.2125244695779083	27736.116033979994	0.004665816166589385	36972.87384194018	0.006219639126316418
