	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	2618152.7365999618	0.4404300641828339	0.9915072876175985	3820913.675276926	0.6427605355922414	3422009.474866964	0.5756561989607893
1	2005	CHIRPS	2	294171.4813396441	0.04948602218502851	0.9915072876175985	149263.54035946753	0.02510936422527056	273510.03706518153	0.046010319220605916
2	2005	CHIRPS	3	101621.08843040197	0.017094870697977153	0.9915072876175985	6056.02728649773	0.001018755112793379	18411.74505324465	0.003097254771335187
0	2010	CHIRPS	1	3148263.56789546	0.5296062013071692	1.432098690394661	3277186.9991910267	0.5512939181184948	3993909.9225818263	0.6718622557626368
1	2010	CHIRPS	2	515921.36926264066	0.08678916191601829	1.432098690394661	475295.4121908727	0.07995499497438893	147003.47711565817	0.024729172578842436
2	2010	CHIRPS	3	79484.8107022908	0.013371068765312938	1.432098690394661	69659.40001355272	0.011718221626271171	6176.3330516512	0.001038993151288
0	2005	CRU NCEP	1	2404262.1005301806	0.4044490210391639	1.6038106791039795	2990623.932245755	0.5030877962208709	2466045.1516447105	0.4148422699842661
1	2005	CRU NCEP	2	462965.347448759	0.07788081071086886	1.6038106791039795	103743.37777038032	0.01745188578619354	101179.48035923217	0.017020582644262774
2	2005	CRU NCEP	3	156784.21005311052	0.02637450395129381	1.6038106791039795	9097.2508023611	0.001530354856216104	0.0	0.0
0	2010	CRU NCEP	1	3104039.0814035106	0.522166683683993	1.2896072502517015	3174370.601081762	0.5339979704125876	3838363.861848198	0.6456960353757906
1	2010	CRU NCEP	2	182919.61338249728	0.030771045529977448	1.2896072502517015	355577.5802355288	0.05981585959285439	133909.1306565904	0.022526419557302182
2	2010	CRU NCEP	3	155465.801579695	0.026152719056757957	1.2896072502517015	44898.618504659345	0.007552921246072113	0.0	0.0
0	2005	ERA 5	1	1970633.5313481786	0.33150329259233624	0.7177803458505453	4391606.924074013	0.7387635153583588	3452479.8726700395	0.5807819806130519
1	2005	ERA 5	2	116903.3581272878	0.01966567985260259	0.7177803458505453	48928.57549141536	0.008230847399699035	82963.19663205293	0.013956208706494246
2	2005	ERA 5	3	86126.21124016224	0.014488296352637455	0.7177803458505453	3087.69583070716	0.000519417394518191	9165.227952223631	0.0015417900868878662
0	2010	ERA 5	1	3347722.5918141278	0.563159534341676	1.8371070737120418	3530294.00735489	0.5938720054441038	4329627.933755742	0.7283373051903026
