	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	2520900.450327824	0.4240701207440912	1.0567699359851648	3820913.675276926	0.6427605355922414	3422009.474866964	0.5756561989607893
1	2005	CHIRPS	2	265523.17122346396	0.044666755193147556	1.0567699359851648	149263.54035946753	0.02510936422527056	273510.03706518153	0.046010319220605916
2	2005	CHIRPS	3	107585.94441564944	0.018098288820876877	1.0567699359851648	6056.02728649773	0.001018755112793379	18411.74505324465	0.003097254771335187
0	2010	CHIRPS	1	2697803.7291374346	0.45382908833642965	1.5145821242045379	3277186.9991910267	0.5512939181184948	3993909.9225818263	0.6718622557626368
1	2010	CHIRPS	2	436853.2089801797	0.07348818278626486	1.5145821242045379	475295.4121908727	0.07995499497438893	147003.47711565817	0.024729172578842436
2	2010	CHIRPS	3	343710.3409608762	0.05781953260919798	1.5145821242045379	69659.40001355272	0.011718221626271171	6176.3330516512	0.001038993151288
0	2005	CRU NCEP	1	2040465.409958322	0.34325052885870255	1.9414440605394132	2990623.932245755	0.5030877962208709	2466045.1516447105	0.4148422699842661
1	2005	CRU NCEP	2	360070.77390776284	0.060571712202132574	1.9414440605394132	103743.37777038032	0.01745188578619354	101179.48035923217	0.017020582644262774
2	2005	CRU NCEP	3	879908.254853301	0.14801964902296616	1.9414440605394132	9097.2508023611	0.001530354856216104	0.0	0.0
0	2010	CRU NCEP	1	2939532.62443574	0.4944931303469571	1.6551316683643995	3174370.601081762	0.5339979704125876	3838363.861848198	0.6456960353757906
1	2010	CRU NCEP	2	428442.08204630046	0.07207324884312552	1.6551316683643995	355577.5802355288	0.05981585959285439	133909.1306565904	0.022526419557302182
2	2010	CRU NCEP	3	648678.2706336197	0.10912175152172096	1.6551316683643995	44898.618504659345	0.007552921246072113	0.0	0.0
0	2005	ERA 5	1	2424982.3089857725	0.40793460941313675	1.0587356116203506	4391606.924074013	0.7387635153583588	3452479.8726700395	0.5807819806130519
1	2005	ERA 5	2	244422.17738081084	0.041117110459849754	1.0587356116203506	48928.57549141536	0.008230847399699035	82963.19663205293	0.013956208706494246
2	2005	ERA 5	3	110494.44554663778	0.018587561781117003	1.0587356116203506	3087.69583070716	0.000519417394518191	9165.227952223631	0.0015417900868878662
