	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	1676898.6269450383	0.2820907121150726	0.9112812171403373	3811468.4023459475	0.6411716358672325	3314830.449153806	0.5576263626895862
1	2005	CHIRPS	2	112810.45905042494	0.018977165474538628	0.9112812171403373	79431.17372554837	0.013362045862722504	285014.97452402045	0.047945699182432085
2	2005	CHIRPS	3	82796.74441685382	0.013928207834429501	0.9112812171403373	0.0	0.0	12250.642936357239	0.0020608237935528847
0	2010	CHIRPS	1	1858756.7028837246	0.3126831840278679	2.0335599710110404	3917904.4746590103	0.6590764912658096	4107362.886440922	0.6909475044785253
1	2010	CHIRPS	2	540251.1810498432	0.09088196384357489	2.0335599710110404	127381.78881229498	0.02142837911556703	52020.68740525283	0.00875100767516123
2	2010	CHIRPS	3	261331.1236336329	0.04396156188519548	2.0335599710110404	3007.81605007812	0.00050597988324639	0.0	0.0
0	2016	CHIRPS	1	1098858.0619894874	0.18485175444667049	1.514376599575345	2966146.4632261116	0.49897015514491333	836934.0356688786	0.140790453472602
1	2016	CHIRPS	2	335507.34685416904	0.05643961112088932	1.514376599575345	609867.0008039223	0.1025928543251772	0.0	0.0
2	2016	CHIRPS	3	335236.7855190767	0.05639409683728228	1.514376599575345	64468.123856379076	0.010844936405308852	0.0	0.0
0	2005	CRU NCEP	1	1527274.0099850171	0.25692060697574703	1.213643341027125	2708884.0920978757	0.4556930456608497	2472659.679623711	0.4159549770244648
1	2005	CRU NCEP	2	228960.40698311938	0.03851610539492789	1.213643341027125	51639.620376199084	0.008686903937545808	214728.0174731221	0.0361219088540861
2	2005	CRU NCEP	3	184095.51427700225	0.030968857559504792	1.213643341027125	0.0	0.0	24594.83648369068	0.004137384828489978
0	2010	CRU NCEP	1	2211023.3870876906	0.37194207911238814	1.8797346815172058	3165310.534426043	0.532473870736164	3758821.0930400854	0.6323152168002737
1	2010	CRU NCEP	2	493592.1677602052	0.08303290602101634	1.8797346815172058	48291.56946665513	0.008123689173042497	200342.17966007622	0.03370189898118929
2	2010	CRU NCEP	3	132801.121439893	0.0223400283801935	1.8797346815172058	5992.74034748724	0.001008108877292802	0.0	0.0
0	2016	CRU NCEP	1	1232287.0144051602	0.2072973976113237	1.490012562599624	3443386.822907321	0.579252332462802	794230.768065664	0.13360683785370375
1	2016	CRU NCEP	2	238445.44766982333	0.04011169491880226	1.490012562599624	722330.8109380418	0.12151170593501152	0.0	0.0
2	2016	CRU NCEP	3	250179.37023234737	0.04208559514054415	1.490012562599624	116921.46757533296	0.019668726254461925	0.0	0.0
