	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	CHIRPS	1	1782802.6355875041	0.29990606286660804	0.914799207060235	3820913.675276926	0.6427605355922414	3422009.474866964	0.5756561989607893
1	2005	CHIRPS	2	140741.49998373463	0.02367577223608546	0.914799207060235	149263.54035946753	0.02510936422527056	273510.03706518153	0.046010319220605916
2	2005	CHIRPS	3	64469.91069188235	0.010845236989787514	0.914799207060235	6056.02728649773	0.001018755112793379	18411.74505324465	0.003097254771335187
0	2010	CHIRPS	1	2166711.02713196	0.3644877792670933	2.0418270441187296	3277186.9991910267	0.5512939181184948	3993909.9225818263	0.6718622557626368
1	2010	CHIRPS	2	581777.2308042214	0.09786754589266937	2.0418270441187296	475295.4121908727	0.07995499497438893	147003.47711565817	0.024729172578842436
2	2010	CHIRPS	3	96765.40892666779	0.016278040111439962	2.0418270441187296	69659.40001355272	0.011718221626271171	6176.3330516512	0.001038993151288
0	2005	CRU NCEP	1	1797686.281583785	0.3024098148707518	1.2540905156811868	2990623.932245755	0.5030877962208709	2466045.1516447105	0.4148422699842661
1	2005	CRU NCEP	2	189821.09033696994	0.03193202361025632	1.2540905156811868	103743.37777038032	0.01745188578619354	101179.48035923217	0.017020582644262774
2	2005	CRU NCEP	3	125853.21333442652	0.02117123957347132	1.2540905156811868	9097.2508023611	0.001530354856216104	0.0	0.0
0	2010	CRU NCEP	1	2568170.7448480795	0.4320220093250967	1.9313831736881737	3174370.601081762	0.5339979704125876	3838363.861848198	0.6456960353757906
1	2010	CRU NCEP	2	399508.53171527886	0.06720599826175652	1.9313831736881737	355577.5802355288	0.05981585959285439	133909.1306565904	0.022526419557302182
2	2010	CRU NCEP	3	48887.99150302967	0.008224020292800484	1.9313831736881737	44898.618504659345	0.007552921246072113	0.0	0.0
0	2005	ERA 5	1	1345698.1936078754	0.22637561724192073	0.7473453924953933	4391606.924074013	0.7387635153583588	3452479.8726700395	0.5807819806130519
1	2005	ERA 5	2	85954.22478972404	0.014459364502197182	0.7473453924953933	48928.57549141536	0.008230847399699035	82963.19663205293	0.013956208706494246
2	2005	ERA 5	3	27629.4928180854	0.00464787982958224	0.7473453924953933	3087.69583070716	0.000519417394518191	9165.227952223631	0.0015417900868878662
0	2010	ERA 5	1	2250649.221333073	0.37860800370724446	2.2118227489805116	3530294.00735489	0.5938720054441038	4329627.933755742	0.7283373051903026
1	2010	ERA 5	2	572521.7901547237	0.09631058007386373	2.2118227489805116	399582.82471293455	0.0672184959549844	290414.31115384435	0.04885398468662551
2	2010	ERA 5	3	115819.58732619461	0.01948336610260157	2.2118227489805116	27319.498876846657	0.004595732126536705	18502.89259688215	0.0031125877646832043
0	2005	GLDAS	1	1592384.8759112165	0.267873666534876	0.9738874148191737	2397184.91896195	0.40325848563274713	2103796.059138499	0.3539041173576641
1	2005	GLDAS	2	153369.47195087466	0.025800070954887185	0.9738874148191737	167395.53596158855	0.028159559072640627	112223.55818896549	0.0188784360228653
2	2005	GLDAS	3	119825.74376899035	0.020157288488626433	0.9738874148191737	18243.69326212079	0.00306898481591355	2988.24514417574	0.000502687632484161
0	2010	GLDAS	1	2009579.7012550894	0.3380548829071366	2.1386939036823946	3493979.231405128	0.5877630726539147	3795206.821509027	0.6384360853427737
