	Year	Dataset	Condition	TotalArea	RelativeArea
0	2005	CHIRPS	0	620730.5193112146	0.10442033371036835
0	2005	CRU NCEP	0	625756.2363272463	0.10526576829368836
0	2005	ERA 5	0	472569.47674184357	0.07949643352073849
0	2005	GLDAS	0	283070.1280869936	0.04761853383829031
0	2005	GPCC	0	319967.4311317284	0.053825460317785845
0	2005	TRMM 6	0	345965.7711555998	0.05819894487630355
0	2005	TRMM 7	0	379658.9814065469	0.06386687346805617
0	2005	GSWP 3	0	649463.8091993895	0.1092538961426606
0	2005	WATCH WFDEI	0	927027.5611080946	0.15594613810358404
0	2005	CHIRPS	1	498927.3843694972	0.08393040514733212
0	2005	CRU NCEP	1	220886.92474771576	0.03715797061180005
0	2005	ERA 5	1	263950.0127911197	0.04440211583134051
0	2005	GLDAS	1	168406.5937314545	0.028329640914028103
0	2005	GPCC	1	97943.07730552972	0.016476149470163556
0	2005	TRMM 6	1	52222.7786398026	0.008785003803102612
0	2005	TRMM 7	1	18402.613336676448	0.00309571861858978
0	2005	GSWP 3	1	64635.40721594681	0.010873077093879541
0	2005	WATCH WFDEI	1	24627.966679940568	0.004142958045917959
0	2005	CHIRPS	2	196481.61723548494	0.03305246866619069
0	2005	CRU NCEP	2	55316.74397649247	0.00930547586447953
0	2005	ERA 5	2	49248.29497702483	0.00828463115020335
0	2005	GLDAS	2	9244.51169632229	0.0015551273318903762
0	2005	GPCC	2	24616.69047587541	0.004141061143872964
0	2005	TRMM 6	2	33878.82126192536	0.005699152388720409
0	2005	TRMM 7	2	12319.741638936932	0.00207244769371222
0	2005	GSWP 3	2	15403.672805419672	0.0025912317900722054
0	2005	WATCH WFDEI	2	3079.46509547398	0.0005180328063708519
0	2010	CHIRPS	0	357143.032540051	0.06007920261685657
0	2010	CRU NCEP	0	536478.6016078264	0.09024733417413085
0	2010	ERA 5	0	587340.4716959335	0.09880340364792897
0	2010	GLDAS	0	644379.1949928276	0.10839855377472482
0	2010	GPCC	0	581135.3921974543	0.09775957472092614
0	2010	TRMM 6	0	494078.48379858385	0.08311471492429462
0	2010	TRMM 7	0	557289.2013558047	0.09374812832359224
0	2010	GSWP 3	0	724307.5483966848	0.12184423604053676
0	2010	WATCH WFDEI	0	1227783.0190467006	0.20653972792419098
0	2010	CHIRPS	1	1339760.6483870388	0.22537679338182098
0	2010	CRU NCEP	1	619804.107591549	0.10426449117014974
0	2010	ERA 5	1	233777.34379633362	0.03932641862079557
0	2010	GLDAS	1	223600.21673233542	0.037614405160566945
0	2010	GPCC	1	107034.2419826219	0.01800548050813356
0	2010	TRMM 6	1	49302.05092967984	0.008293674067122244
0	2010	TRMM 7	1	21100.49429460354	0.0035495606984833165
0	2010	GSWP 3	1	21016.71245453846	0.003535466776199342
0	2010	WATCH WFDEI	1	0.0	0.0
0	2010	CHIRPS	2	740815.9209810524	0.124621302288524
0	2010	CRU NCEP	2	114025.92672930172	0.019181633495191634
0	2010	ERA 5	2	64779.06403468469	0.010897243285947919
0	2010	GLDAS	2	104817.52176568769	0.017632580098706878
0	2010	GPCC	2	24673.34128415998	0.004150591038282858
0	2010	TRMM 6	2	12332.673770192101	0.002074623158618874
0	2010	TRMM 7	2	0.0	0.0
0	2010	GSWP 3	2	0.0	0.0
0	2010	WATCH WFDEI	2	0.0	0.0
