	Year	Dataset	Condition	TotalArea	RelativeArea
0	2016	CHIRPS	0	1169742.1337552015	0.19677599241830881
0	2016	CRU NCEP	0	1321033.63806818	0.2222265041563731
0	2016	ERA 5	0	979375.9729033201	0.16475227612774748
0	2016	GLDAS	0	817446.1800566901	0.13751217357010542
0	2016	TRMM 7	0	801601.1718225091	0.13484669959068413
0	2016	GPCC	0	427877.91254516854	0.07197834329918226
0	2016	CHIRPS	1	1569459.9880503858	0.26401720327710515
0	2016	CRU NCEP	1	474077.188736414	0.07975006337252483
0	2016	ERA 5	1	348084.1130026039	0.05855529591060141
0	2016	GLDAS	1	314915.1004613916	0.05297554874070227
0	2016	TRMM 7	1	89584.35679820797	0.015070031424389434
0	2016	GPCC	1	12359.72460323372	0.002079173695325982
0	2016	CHIRPS	2	1275870.2433543857	0.21462904181032882
0	2016	CRU NCEP	2	366961.2641333051	0.06173084207636128
0	2016	ERA 5	2	160437.1725305763	0.026989011453440934
0	2016	GLDAS	2	89593.53279437035	0.015071575025922771
0	2016	TRMM 7	2	6179.86230161686	0.001039586847662991
0	2016	GPCC	2	3089.81348823083	0.0005197736304344639
