	metric	Year	Dataset	Condition	TotalArea	RelativeArea
0	rRAI	2005	CHIRPS	0	12209.660842754369	0.0020554984583761563
0	rRAI	2005	CRU NCEP	0	24419.321685508738	0.0041109969167523125
0	rRAI	2005	ERA 5	0	15262.076053442961	0.0025693730729701952
0	rRAI	2005	GLDAS	0	0.0	0.0
0	rRAI	2005	TRMM 7	0	36628.982528263106	0.006166495375128468
0	rRAI	2005	GPCC	0	155673.1757451182	0.026207605344295993
0	rRAI	2010	CHIRPS	1	0.0	0.0
0	rRAI	2010	CRU NCEP	1	0.0	0.0
0	rRAI	2010	ERA 5	1	51891.058581706064	0.008735868448098663
0	rRAI	2010	GLDAS	1	18314.491264131553	0.003083247687564234
0	rRAI	2010	TRMM 7	1	70205.54984583762	0.011819116135662899
0	rRAI	2010	GPCC	1	79362.7954779034	0.013360739979445015
0	rRAI	2016	CHIRPS	2	0.0	0.0
0	rRAI	2016	CRU NCEP	2	0.0	0.0
0	rRAI	2016	ERA 5	2	0.0	0.0
0	rRAI	2016	GLDAS	2	250298.04727646455	0.0421377183967112
0	rRAI	2016	TRMM 7	2	0.0	0.0
0	rRAI	2016	GPCC	2	0.0	0.0
0	rMCWD	2005	CHIRPS	0	161778.00616649538	0.02723535457348407
0	rMCWD	2005	CRU NCEP	0	299136.69064748206	0.050359712230215826
0	rMCWD	2005	ERA 5	0	61048.304213771844	0.010277492291880781
0	rMCWD	2005	GLDAS	0	109886.94758478932	0.018499486125385406
0	rMCWD	2005	TRMM 7	0	219773.89516957864	0.03699897225077081
0	rMCWD	2005	GPCC	0	262507.70811921894	0.044193216855087356
0	rMCWD	2010	CHIRPS	1	186197.3278520041	0.03134635149023638
0	rMCWD	2010	CRU NCEP	1	103782.11716341213	0.017471736896197326
0	rMCWD	2010	ERA 5	1	247245.63206577595	0.04162384378211716
0	rMCWD	2010	GLDAS	1	91572.45632065777	0.015416238437821172
0	rMCWD	2010	TRMM 7	1	286927.02980472764	0.048304213771839674
0	rMCWD	2010	GPCC	1	253350.46248715316	0.04265159301130524
0	rMCWD	2016	CHIRPS	2	399866.3926002056	0.06731757451181912
0	rMCWD	2016	CRU NCEP	2	247245.63206577595	0.04162384378211716
0	rMCWD	2016	ERA 5	2	567749.2291880781	0.09558067831449127
0	rMCWD	2016	GLDAS	2	747841.7266187051	0.12589928057553956
0	rMCWD	2016	TRMM 7	2	460914.69681397744	0.0775950668036999
0	rMCWD	2016	GPCC	2	451757.4511819117	0.07605344295991778
0	rscPDSI	2005	CHIRPS	0	0.0	0.0
0	rscPDSI	2005	CRU NCEP	0	0.0	0.0
0	rscPDSI	2005	ERA 5	0	6104.830421377184	0.0010277492291880781
0	rscPDSI	2005	GLDAS	0	0.0	0.0
0	rscPDSI	2005	TRMM 7	0	27471.73689619733	0.0046248715313463515
0	rscPDSI	2005	GPCC	0	70205.54984583762	0.011819116135662899
0	rscPDSI	2010	CHIRPS	1	3052.415210688592	0.0005138746145940391
0	rscPDSI	2010	CRU NCEP	1	6104.830421377184	0.0010277492291880781
0	rscPDSI	2010	ERA 5	1	0.0	0.0
0	rscPDSI	2010	GLDAS	1	0.0	0.0
0	rscPDSI	2010	TRMM 7	1	0.0	0.0
0	rscPDSI	2010	GPCC	1	3052.415210688592	0.0005138746145940391
0	rscPDSI	2016	CHIRPS	2	64100.71942446044	0.01079136690647482
0	rscPDSI	2016	CRU NCEP	2	115991.77800616651	0.019527235354573486
0	rscPDSI	2016	ERA 5	2	67153.13463514902	0.011305241521068859
0	rscPDSI	2016	GLDAS	2	811942.4460431655	0.1366906474820144
0	rscPDSI	2016	TRMM 7	2	97677.28674203495	0.01644398766700925
0	rscPDSI	2016	GPCC	2	332713.2579650566	0.05601233299075026
