	metric	Year	Dataset	Condition	TotalArea	RelativeArea
0	rRAI	2005	CHIRPS	0	3604902.3638232276	0.6068859198355602
0	rRAI	2005	CRU NCEP	0	2707492.2918807813	0.45580678314491263
0	rRAI	2005	ERA 5	0	3324080.1644398766	0.5596094552929085
0	rRAI	2005	GLDAS	0	3522487.153134635	0.593011305241521
0	rRAI	2005	TRMM 7	0	3446176.7728674207	0.5801644398766701
0	rRAI	2005	GPCC	0	2847903.391572457	0.47944501541623846
0	rRAI	2010	CHIRPS	1	4163494.34737924	0.7009249743062693
0	rRAI	2010	CRU NCEP	1	3962034.9434737926	0.6670092497430626
0	rRAI	2010	ERA 5	1	4563360.739979445	0.7682425488180884
0	rRAI	2010	GLDAS	1	3870462.487153135	0.6515930113052415
0	rRAI	2010	TRMM 7	1	3980349.434737924	0.6700924974306269
0	rRAI	2010	GPCC	1	3345447.070914697	0.5632065775950668
0	rRAI	2016	CHIRPS	2	836361.7677286742	0.1408016443987667
0	rRAI	2016	CRU NCEP	2	790575.5395683454	0.13309352517985612
0	rRAI	2016	ERA 5	2	750894.1418293936	0.1264131551901336
0	rRAI	2016	GLDAS	2	3611007.1942446046	0.6079136690647482
0	rRAI	2016	TRMM 7	2	1599465.5704008224	0.2692702980472765
0	rRAI	2016	GPCC	2	1385796.5056526207	0.23329907502569372
0	rMCWD	2005	CHIRPS	0	2954737.923946557	0.49743062692702983
0	rMCWD	2005	CRU NCEP	0	3037153.1346351486	0.5113052415210688
0	rMCWD	2005	ERA 5	0	2100061.6649537515	0.35354573484069884
0	rMCWD	2005	GLDAS	0	2899794.450154163	0.4881808838643371
0	rMCWD	2005	TRMM 7	0	2722754.3679342247	0.45837615621788286
0	rMCWD	2005	GPCC	0	2606762.589928058	0.43884892086330934
0	rMCWD	2010	CHIRPS	1	3763627.954779034	0.6336073997944501
0	rMCWD	2010	CRU NCEP	1	3562168.550873587	0.5996916752312436
0	rMCWD	2010	ERA 5	1	3989506.6803699895	0.671634121274409
0	rMCWD	2010	GLDAS	1	3528591.9835560126	0.5940390544707091
0	rMCWD	2010	TRMM 7	1	3781942.446043166	0.6366906474820144
0	rMCWD	2010	GPCC	1	2814326.824254882	0.473792394655704
0	rMCWD	2016	CHIRPS	2	2243525.1798561155	0.3776978417266187
0	rMCWD	2016	CRU NCEP	2	2258787.2559095584	0.3802672147995889
0	rMCWD	2016	ERA 5	2	2524347.3792394656	0.4249743062692703
0	rMCWD	2016	GLDAS	2	3733103.8026721487	0.6284686536485098
0	rMCWD	2016	TRMM 7	2	2832641.3155190134	0.47687564234326824
0	rMCWD	2016	GPCC	2	2970000.0	0.5
0	rscPDSI	2005	CHIRPS	0	3888776.9784172666	0.6546762589928058
0	rscPDSI	2005	CRU NCEP	0	2762435.765673176	0.46505652620760535
0	rscPDSI	2005	ERA 5	0	4209280.575539568	0.7086330935251799
0	rscPDSI	2005	GLDAS	0	4096341.2127440907	0.6896197327852004
0	rscPDSI	2005	TRMM 7	0	3565220.966084276	0.6002055498458376
0	rscPDSI	2005	GPCC	0	3079886.9475847897	0.5184994861253854
0	rscPDSI	2010	CHIRPS	1	4056659.8150051394	0.682939362795478
0	rscPDSI	2010	CRU NCEP	1	3226402.8776978417	0.5431654676258992
0	rscPDSI	2010	ERA 5	1	4303905.447070915	0.7245632065775951
0	rscPDSI	2010	GLDAS	1	4074974.3062692704	0.6860226104830421
0	rscPDSI	2010	TRMM 7	1	3739208.633093525	0.6294964028776978
0	rscPDSI	2010	GPCC	1	3495015.4162384383	0.5883864337101747
0	rscPDSI	2016	CHIRPS	2	3635426.515930113	0.6120246659815005
0	rscPDSI	2016	CRU NCEP	2	4279486.125385406	0.7204522096608428
0	rscPDSI	2016	ERA 5	2	2789907.502569373	0.4696813977389517
0	rscPDSI	2016	GLDAS	2	4306957.862281603	0.725077081192189
0	rscPDSI	2016	TRMM 7	2	4615251.798561152	0.7769784172661871
0	rscPDSI	2016	GPCC	2	3714789.3114080164	0.6253854059609455
